year,fips,state_fips,county_fips,edu_universe_25_plus,no_schooling,high_school_diploma,ged,associates_degree,bachelors_degree,masters_degree,professional_degree,doctorate_degree
2014,30063,30,063,73147,194,11686,4220,4568,18473,7408,2313,1748
2014,30111,30,111,104772,365,28404,5030,7486,20476,5980,1551,1068
2014,31055,31,055,352014,6989,66240,11863,25290,84689,30866,7458,4823
2014,31109,31,109,185566,1505,36160,7665,20532,45545,14365,3347,3606
2014,31153,31,153,108861,783,19629,2835,11078,29346,12163,1842,1173
2014,32003,32,003,1391216,23750,343958,51124,109401,208934,73716,22206,11341
2014,32031,32,031,299012,4465,61896,13293,22992,56065,20728,5820,4122
2014,33005,33,005,52512,280,14895,2406,5112,9215,4696,1061,725
2014,33009,33,009,61886,205,13990,2593,5811,11792,5915,3439,2575
2014,36103,36,103,1027945,14324,275622,28094,89731,195500,115005,24547,14646
2014,36105,36,105,53456,603,14697,3540,6165,6752,3035,426,819
2014,36109,36,109,59471,584,9464,1848,6212,14297,8819,2487,5563
2014,36111,36,111,128450,1756,29297,7185,13655,23391,12166,1890,1885
2014,36113,36,113,47718,806,12916,3369,5997,7173,4499,484,465
2014,36117,36,117,63607,1033,20649,2934,7678,7505,6004,430,393
2014,36119,36,119,664173,9980,116162,16235,37934,156296,104673,36646,15210
2014,37001,37,001,104405,1017,22507,7856,10261,14966,4440,894,1092
2014,37019,37,019,90827,939,21138,3766,9360,15657,6169,1268,1097
2014,37021,37,021,180974,1829,35418,7198,16136,41009,19065,4379,2687
2014,37023,37,023,63338,1545,13245,4831,6917,7528,2705,704,218
2014,37025,37,025,126090,1002,29242,4367,13653,25320,7679,1600,822
2014,37027,37,027,57354,547,13277,3766,5357,6756,2393,537,305
2014,37031,37,031,51305,219,10681,2331,6141,7208,4051,1399,669
2014,37035,37,035,106098,1874,26747,6981,10496,14505,4022,1293,385
2014,37037,37,037,49952,443,8904,1923,3289,9543,5080,1585,2376
2014,37045,37,045,65807,946,21720,2365,7616,6629,3526,371,661
2014,37049,37,049,67615,1174,13526,4010,5923,9781,4071,723,512
2014,37051,37,051,201026,2671,42147,7406,22778,29208,13336,1938,1249
2014,37057,37,057,113654,1517,32461,7271,11171,14126,5194,1264,577
2014,37063,37,063,198727,2593,28101,6239,11447,48907,27837,7555,8414
2014,37067,37,067,241997,3412,51703,10452,20684,48008,19504,5776,3542
2014,37071,37,071,143533,1527,33360,9250,12988,20944,6000,1670,627
2014,37081,37,081,338558,3189,77007,9587,28932,72759,28182,6249,5407
2014,37085,37,085,80020,931,19705,5202,8719,9518,4872,372,219
2014,37089,37,089,81893,545,18525,3831,7126,16225,5365,1098,988
2014,37097,37,097,111532,721,26200,4660,10110,19327,6295,1774,966
2014,37101,37,101,117525,1172,32028,4885,13466,17408,4428,818,426
2014,37109,37,109,55861,645,14206,2777,6245,6830,2794,305,381
2014,37119,37,119,668213,6742,106950,14821,52256,190631,73609,16133,7286
2014,37125,37,125,67254,491,14027,1740,6355,14899,5551,2124,1509
2014,37127,37,127,63804,1200,19664,4103,5123,7915,2465,555,322
2014,37129,37,129,147825,644,26719,4567,13849,40274,10763,3116,3085
2014,37133,37,133,99407,604,22419,4518,7480,12882,5313,648,369
2014,37135,37,135,85658,797,12372,2376,5916,21344,12703,4759,8265
2014,37147,37,147,104089,879,22078,3480,12763,21103,6717,1293,1139
2014,37151,37,151,97110,2195,27247,7408,8849,10243,3640,416,287
2014,37155,37,155,85243,1488,28066,2927,6916,7341,2319,1044,238
2014,37157,37,157,64952,702,20706,5119,5642,6707,1671,255,273
2014,37159,37,159,94528,622,23870,6784,11007,12881,3762,452,534
2014,37161,37,161,46891,584,11346,3057,5265,5684,1140,270,246
2014,37171,37,171,50446,935,11749,2198,6469,4545,1509,303,265
2014,37179,37,179,138253,974,31008,5001,9758,33736,10501,1680,1106
2014,37183,37,183,654899,5680,91434,18000,58347,204654,85579,15541,16673
2014,37191,37,191,80171,631,22595,2898,7439,12115,3209,367,493
2014,37193,37,193,49120,718,13547,1966,3659,4376,2281,156,205
2014,37195,37,195,55340,1383,16157,2854,4374,7612,2598,514,258
2014,38015,38,015,61077,27,14287,1720,7443,15264,4664,612,991
2014,38017,38,017,103966,1604,18956,2775,15159,27101,7506,2169,2266
2014,38035,38,035,39966,232,8168,1396,5554,8554,2956,603,652
2014,38101,38,101,43050,99,11241,2334,4494,7203,2042,714,269
2014,39003,39,003,69488,483,23676,4091,8716,5822,3109,645,321
2014,39007,39,007,68993,833,26051,4880,5470,5726,2557,487,195
2014,39013,39,013,50965,346,21185,1903,3762,4950,2836,324,147
2014,39017,39,017,238575,1291,70541,9015,17289,43602,21641,2655,3122
2014,39023,39,023,93494,685,28360,4775,9286,9682,4808,340,569
2014,39025,39,025,137370,1463,40955,6529,12600,26013,9573,1198,775
2014,39029,39,029,74783,296,30968,4154,6932,7615,2802,259,432
2014,39035,39,035,872756,7599,215655,28068,63861,157164,74936,25913,12822
2014,39041,39,041,123101,459,22880,1695,8616,38408,17934,4862,3105
2014,39043,39,043,53609,238,20294,1460,4979,7872,2433,1016,598
2014,39045,39,045,100682,487,31126,2743,10535,18763,6995,978,732
2014,39049,39,049,813054,10028,174998,24829,53286,193021,80250,21046,14352
2014,39055,39,055,63708,301,15044,1770,5863,15278,5993,1030,879
2014,39057,39,057,109332,491,24216,2725,10563,23198,13020,1695,3067
2014,39061,39,061,540675,4677,130298,16988,45865,118112,52130,12739,9718
2014,39063,39,063,51548,573,17304,1492,5344,8848,3431,367,433
2014,39081,39,081,48161,503,17437,1506,6565,4715,2022,265,441
2014,33011,33,011,281581,1966,67064,10967,25937,63800,26866,4326,3903
2014,33013,33,013,102882,804,25690,4871,10372,22765,10039,1710,1182
2014,33015,33,015,215786,600,50134,6545,22079,51338,23485,3835,3242
2014,33017,33,017,80499,494,19578,3424,7576,17410,9908,474,1496
2014,34001,34,001,187900,2785,56702,6732,12292,31967,10156,2832,1596
2014,34003,34,003,655860,9858,155467,10693,39180,189355,79189,24043,10161
2014,34005,34,005,312138,2705,80645,7641,27429,77449,28252,5579,4147
2014,34007,34,007,346758,5100,99837,10576,22989,70271,26007,8358,3737
2014,34009,34,009,70506,1223,23446,1898,4608,11937,4719,1275,598
2014,34011,34,011,105504,3456,31537,7824,7558,8913,3227,807,238
2014,34013,34,013,528013,9581,141565,13158,30537,107761,43422,13738,7637
2014,34015,34,015,197366,2092,61783,6742,17169,39742,13763,3645,1849
2014,34017,34,017,472161,7939,114185,10836,19350,113963,51144,9039,6399
2014,34019,34,019,88767,683,17710,1589,6474,27045,11748,2941,2717
2014,34021,34,021,248586,2883,51498,5910,13318,49873,34799,5205,11936
2014,34023,34,023,570750,8622,137274,14086,35018,140517,70530,12768,10446
2014,34025,34,025,435794,2730,99961,8173,31512,112795,56856,13114,7470
2014,34027,34,027,347546,2255,65559,5811,20721,106886,58336,11744,7232
2014,34029,34,029,404226,2835,122530,13650,30638,78157,29333,5557,2463
2014,34031,34,031,333356,5583,103899,7220,17604,62893,24001,5806,2536
2014,34033,34,033,45715,654,16227,1201,3703,5892,2539,109,360
2014,34035,34,035,229189,1502,44262,3511,15011,69058,37857,9487,6570
2014,34037,34,037,101365,721,29832,2881,8360,22102,8443,1070,931
2014,34039,34,039,371718,6549,101628,9501,21337,75053,34008,8056,5540
2014,34041,34,041,74713,497,22341,2202,6774,14344,5642,1290,298
2014,35001,35,001,454909,4134,91266,18710,35146,83827,43683,9309,11869
2014,35005,35,005,41184,1078,7765,2157,3243,4802,1996,189,155
2014,35013,35,013,127478,1642,19857,7040,10534,23157,11424,1598,2771
2014,35025,35,025,41724,1042,10820,2084,2412,2929,1256,212,229
2014,35031,35,031,44390,1275,13660,1337,3123,2655,1385,460,113
2014,35035,35,035,42446,409,10140,1975,5024,4461,3657,288,246
2014,35043,35,043,93173,280,20358,3023,9324,15957,7899,1684,1762
2014,35045,35,045,78684,1628,20643,3682,6379,7073,4404,607,520
2014,35049,35,049,107964,656,19986,4224,5701,21391,14956,2928,3104
2014,35061,35,061,50352,495,11717,3550,3616,4915,2804,222,89
