year,county_fips,unemployment_rate
2022,01027,2.3
2022,01027,2.6
2022,01027,2.4
2022,01027,2.7
2022,01027,1.9
2022,01027,1.8
2022,01027,2.2
2022,01027,2.4
2022,01027,2.7
2024,01029,3
2024,01029,3.1
2024,01029,2.9
2024,01029,2.7
2024,01029,3.1
2024,01029,3.2
2024,01029,3
2024,01029,2.1
2024,01029,2
2024,01029,2.6
2024,01029,3.1
2024,01029,2.9
2023,01029,2.3
2023,01029,2.1
2023,01029,2.2
2023,01029,2.4
2023,01029,2.5
2023,01029,2.3
2023,01029,2.4
2023,01029,1.9
2023,01029,1.7
2023,01029,2
2023,01029,2.3
2023,01029,2.5
2022,01029,1.7
2022,01029,1.9
2022,01029,2
2022,01029,2.3
2022,01029,2.7
2022,01029,2.6
2022,01029,2.9
2022,01029,2.1
2022,01029,1.8
2022,01029,2.3
2022,01029,2.7
2022,01029,2.8
2024,01031,3.5
2024,01031,3.3
2024,01031,3.1
2024,01031,3.1
2024,01031,3.5
2024,01031,3.4
2024,01031,3.2
2024,01031,2.5
2024,01031,2.5
2024,01031,2.9
2024,01031,3.1
2024,01031,2.9
2023,01031,2.5
2023,01031,2.4
2023,01031,2.4
2023,01031,2.6
2023,01031,2.6
2023,01031,2.4
2023,01031,2.6
2023,01031,1.9
2023,01031,1.7
2023,01031,2
2023,01031,2.5
2023,01031,2.5
2022,01031,1.8
2022,01031,2
2022,01031,2.2
2022,01031,2.3
2022,01031,2.7
2022,01031,2.6
2022,01031,2.9
2022,01031,2
2022,01031,1.8
2022,01031,2.3
2022,01031,2.6
2022,01031,2.9
2024,01033,3.6
2024,01033,3.4
2024,01033,3.4
2024,01033,3.2
2024,01033,3.8
2024,01033,3.7
2024,01033,3.4
2024,01033,2.5
2024,01033,2.5
2024,01033,2.9
2024,01033,3.4
2024,01033,3.7
2023,01033,3
2023,01033,2.8
2023,01033,2.9
2023,01033,2.9
2023,01033,3.2
2023,01033,2.8
2023,01033,3
2023,01033,2.2
2023,01033,1.9
2023,01033,2.3
2023,01033,2.9
2023,01033,3.2
2022,01033,2.3
2022,01033,2.3
2022,01033,2.5
2022,01033,2.6
2022,01033,3.1
2022,01033,3.2
2022,01033,3.4
2022,01033,2.5
2022,01033,2.2
2022,01033,2.6
2022,01033,3.2
2022,01033,3.5
2024,01035,4.6
2024,01035,4.5
2024,01035,4.2
2024,01035,4.2
2024,01035,4.9
2024,01035,4.6
2024,01035,4.9
2024,01035,3.3
2024,01035,3
2024,01035,3.7
2024,01035,4.4
2024,01035,4.2
2023,01035,3.7
2023,01035,3.9
2023,01035,3.8
2023,01035,3.8
2023,01035,4.1
2023,01035,3.8
2023,01035,4
2023,01035,2.7
2023,01035,2.3
2023,01035,3
2023,01035,3.6
2023,01035,3.7
2022,01035,2.9
2022,01035,2.9
2022,01035,2.9
2022,01035,3.3
2022,01035,4.1
2022,01035,4.1
2022,01035,4.1
2022,01035,2.9
2022,01035,2.9
2022,01035,3.5
2022,01035,4.4
2022,01035,4.4
2024,01037,4
2024,01037,3.9
2024,01037,3.5
2024,01037,3.3
2024,01037,3.6
2024,01037,4
2024,01037,3.3
2024,01037,2.3
2024,01037,2.3
2024,01037,3
2024,01037,3.2
2024,01037,3.5
2023,01037,2.7
2023,01037,2.2
2023,01037,2.5
2023,01037,2.6
2023,01037,2.8
2023,01037,2.5
2023,01037,2.8
2023,01037,1.9
2023,01037,1.7
2023,01037,2.1
2023,01037,2.7
2023,01037,2.7
2022,01037,1.9
2022,01037,2.4
2022,01037,2.4
2022,01037,2.5
2022,01037,2.5
2022,01037,2.5
2022,01037,2.9
2022,01037,2.1
2022,01037,1.9
2022,01037,2.3
2022,01037,2.6
2022,01037,2.8
2024,01039,3.3
2024,01039,3.4
2024,01039,3.3
2024,01039,3.2
2024,01039,3.8
2024,01039,3.7
2024,01039,3.6
2024,01039,2.7
2024,01039,2.6
2024,01039,3.2
2024,01039,3.6
2024,01039,3.6
