year,fips,state_fips,county_fips,median_household_income,aggregate_household_income,hh_income_universe,hh_income_under_10k,hh_income_10k_to_15k,hh_income_15k_to_20k,hh_income_20k_to_25k,hh_income_25k_to_30k,hh_income_30k_to_35k,hh_income_35k_to_40k,hh_income_40k_to_45k,hh_income_45k_to_50k,hh_income_50k_to_60k,hh_income_60k_to_75k,hh_income_75k_to_100k,hh_income_100k_to_125k,hh_income_125k_to_150k,hh_income_150k_to_200k,hh_income_200k_plus,per_capita_income,gini_index
2014,06059,06,059,76306,106084646200,1018862,46056,34183,31673,38585,38624,37654,38031,36731,34944,69418,95571,133755,103097,72098,94757,113685,34886,0.4693
2014,06061,06,061,75390,13222167500,136239,5769,5193,3768,5698,5735,5111,5380,5327,3582,9427,12765,18812,13452,11662,12656,11902,37200,0.4451
2014,06065,06,065,57006,51453349600,700584,41957,34756,35172,38126,32699,37659,31964,31947,27426,53598,74212,93097,61835,39668,38000,28468,23460,0.4442
2014,06067,06,067,55842,39777509100,523353,33285,34232,26263,21847,26603,24633,23780,22122,23663,39922,52852,63353,46444,27198,33342,23814,27655,0.4680
2014,06071,06,071,52041,42188206200,617066,44727,35696,34043,36706,30197,27811,31572,28292,24597,50268,65493,74002,51439,30167,30442,21614,21042,0.4510
2014,06073,06,073,66192,98126665400,1100858,67550,44551,40331,44393,46878,51482,44699,43285,43591,79810,102258,143343,109594,69529,79996,89568,31770,0.4669
2014,06075,06,075,85070,42131408200,353406,21295,20780,14823,10402,9435,9131,11175,9073,9903,15870,28907,37803,36065,28208,33708,56828,51727,0.5063
2014,06077,06,077,51659,15748324500,221874,15865,12351,13763,14995,9337,11127,11449,10021,7737,17535,21690,27026,17680,10152,11949,9197,23028,0.4703
2014,06079,06,079,63474,8616011400,102645,5439,5573,4267,4357,4352,5594,3863,4908,3362,7781,9997,13246,10931,6299,6525,6151,31746,0.4650
2014,06081,06,081,101051,36496290700,257473,8517,6480,5641,8010,6774,6684,7710,8130,5779,13776,20026,28643,30570,21554,27495,51684,49987,0.4881
2014,06083,06,083,63833,12602114500,142912,7263,6313,6232,7019,7610,6824,5866,5424,5383,10272,14057,19076,13286,8312,9205,10770,29833,0.4808
2014,06085,06,085,97532,80761983500,622068,21432,19780,17754,16113,16349,17924,18713,16962,16958,32077,49046,72919,67178,50924,72582,115357,44112,0.4637
2014,06087,06,087,65368,8966338600,96127,5238,4094,3777,5901,3254,4132,3922,4185,4482,6299,7245,11688,9919,4302,8840,8849,33911,0.4828
2014,06089,06,089,43706,4096967700,68542,4848,4999,4314,5317,4303,3739,3614,3946,3126,5160,7499,6684,3764,2886,2667,1676,24373,0.4558
2014,06095,06,095,67999,12151989700,145313,7202,6731,4842,6433,5202,5377,4916,6658,5197,10992,15475,21638,15831,9025,12294,7500,28948,0.4184
2014,06097,06,097,67771,17461502900,190875,9754,8399,7164,7239,7021,8258,6914,6484,9027,14069,19710,28424,17285,10530,16011,14586,35771,0.4644
2014,06099,06,099,51084,11099470800,169038,11618,12009,8862,7014,8557,9466,8175,10159,6183,15192,18709,20476,13306,8390,5994,4928,21609,0.4404
2014,06101,06,101,54433,2247284000,31634,1462,1508,1970,944,1530,2079,1541,1677,1649,2852,3753,3572,2810,1252,2119,916,24233,0.4297
2014,06107,06,107,42611,7754333100,132742,10221,9469,10358,8581,8456,8801,7276,5674,6508,10154,13293,14099,7336,5342,3592,3582,17760,0.4599
2014,06111,06,111,75449,26647260000,269869,10442,8443,10096,8582,10172,11082,8818,10117,9829,18455,27850,41333,27795,18691,22058,26106,32686,0.4489
2014,06113,06,113,53765,5726157200,72228,7000,5138,3212,3734,2819,3172,2071,3557,2584,5326,6461,7145,7068,3563,4777,4601,28356,0.5052
2014,06115,06,115,42143,1407175400,25732,2049,1973,2031,1905,1210,1859,1431,1243,1667,1849,2473,2863,1375,948,422,434,19178,0.4506
2014,08001,08,001,59659,11627599800,159422,8306,5439,6812,6265,7635,7891,9149,8229,7372,13054,21065,22054,13588,9206,8146,5211,25409,0.4130
2014,08005,08,005,65327,21055008200,232763,11709,7080,7005,9827,10055,10960,10923,11095,9147,18990,25785,30680,23135,14153,16032,16187,34805,0.4668
2014,08013,08,013,71540,11873694400,123690,8134,4610,4083,4713,6109,4208,3581,4850,3702,8375,12156,15152,13100,8358,11009,11550,38765,0.4678
2014,08031,08,031,54941,23084211200,281928,25366,12361,11630,13810,15089,11926,13142,13377,11769,20834,25317,35536,22913,14452,14370,20036,35967,0.5063
2014,08035,08,035,103226,13614662100,108135,2527,1211,2241,2395,1905,2549,1611,2215,2731,6760,9172,15388,15233,12221,14699,15277,44704,0.3948
2014,08041,08,041,59446,18829298600,245158,14018,10028,11279,11829,10020,11707,11501,11210,11384,20434,27596,33034,21879,13866,13907,11466,29361,0.4405
2014,08059,08,059,70714,20373791700,224502,8560,7557,8050,8121,7452,10213,8436,9211,8815,17442,25348,31863,24831,15829,16796,15978,37284,0.4318
2014,08069,08,069,56575,9617764100,125165,7944,3714,6237,6821,6230,7523,6915,5657,4947,9481,13975,15913,11013,5090,8446,5259,30626,0.4615
2014,08077,08,077,50174,3777610500,59703,5373,3407,2644,2807,4029,3836,2940,2533,2148,6081,5804,6970,5213,2766,1882,1270,26910,0.4450
2014,08101,08,101,41047,3476818100,63385,6036,4315,3401,5022,3737,4735,3766,2440,3760,4885,5907,7328,3873,1426,1587,1167,22188,0.4473
2014,08123,08,123,62083,7500865500,96803,4133,3006,3320,4345,3888,4203,5039,4949,4860,8490,11100,15651,9573,5053,5488,3705,27678,0.4085
2014,09001,09,001,85925,48119934200,338421,16517,10569,13257,10636,13668,10263,10876,9570,10356,16672,29052,39524,29120,21861,31665,64815,52284,0.5491
2014,09003,09,003,65894,31391561300,346525,23014,12529,16719,15390,15024,13326,14224,12118,12251,22584,34660,43935,33860,23340,25613,27938,36113,0.4775
2014,09005,09,005,73756,6704486600,73572,3429,1742,3255,2349,1735,2720,1916,2688,3445,5228,9095,11953,7357,6396,6023,4241,37085,0.4160
2014,09007,09,007,75876,6449940100,67106,3295,1838,2362,3336,2339,2031,1875,3478,2807,4185,5631,7489,7157,6872,6438,5973,40099,0.4343
2014,09009,09,009,60391,26951512200,326050,24576,14703,17369,14826,14196,14121,13803,13722,11623,22742,30158,40860,29473,19186,22807,21885,32895,0.4788
2014,09011,09,011,66148,8946732600,105504,5661,4193,4074,4822,4668,3391,3165,4917,4028,9601,10065,15358,10242,7350,7893,6076,34287,0.4397
2014,09013,09,013,78786,5249541100,53984,2308,1358,1296,1502,1506,1845,2425,2069,2489,3579,4977,9272,5095,4952,5279,4032,35798,0.4190
2014,09015,09,015,59195,3052661200,44655,2518,1619,2154,2147,3177,2272,1780,1865,1777,3147,5386,7080,4211,2615,2012,895,26864,0.3916
2014,10001,10,001,55227,4195705300,61270,4412,2678,2412,2778,2879,3889,3757,2508,2541,5928,6739,7910,4563,3743,3353,1180,25751,0.4215
2014,10003,10,003,64801,17044397400,202204,13674,7208,7644,8194,7779,8922,9363,9134,9351,13894,20969,26107,19306,13147,14494,13018,32030,0.4548
2014,10005,10,005,55011,6310062300,86269,5219,2845,4297,4283,4482,4996,4827,3962,3868,7835,9475,10972,7392,3846,3976,3994,30311,0.4441
2014,11001,11,001,71648,28715608900,277378,31498,10973,9777,11155,9383,9076,6423,11057,7319,14773,22097,32079,24954,15861,23599,37354,45877,0.5224
2014,12001,12,001,45228,6254525000,97215,13123,5433,6422,5811,5125,5064,4345,3108,3290,9304,9203,8947,6737,3179,3923,4201,25791,0.5177
2014,12005,12,005,44775,4197831700,66024,6521,2958,3000,4144,5164,3420,4327,3633,2457,5871,6263,7334,4751,1982,2004,2195,25399,0.4730
2014,12009,12,009,47907,14538430000,225226,17154,11484,13320,13821,11905,13390,11532,13897,10600,18104,24459,27559,14441,7966,8079,7515,27847,0.4578
2014,12011,12,011,51608,48166019600,665192,46111,36117,39028,38242,35341,34495,31003,30943,30891,50749,66604,78447,55635,27941,32042,31603,27820,0.4778
2014,12015,12,015,43039,4312120100,75234,5323,4675,5168,5117,4704,5176,4902,4447,3724,7238,7539,6551,4723,2635,1598,1714,26542,0.4451
2014,12017,12,017,35671,3118316600,60315,5556,5271,4855,4661,3979,5268,3641,3825,3098,3919,5441,4745,2852,1370,425,1409,23159,0.4818
2014,12019,12,019,58153,5068345800,70307,4723,1775,2111,3419,3078,4140,4615,3152,2279,6728,9074,9311,6924,3064,3736,2178,25884,0.4137
2014,12021,12,021,58026,12753148400,133162,5679,5223,4928,6080,7147,6619,6905,5927,5898,13762,12849,15940,12142,5465,6911,11687,38317,0.5223
2014,12023,12,023,38520,1302902600,23825,3101,1350,1496,2396,1179,1578,1347,1108,712,2576,2675,1240,1322,542,799,404,20604,0.4963
2014,12031,12,031,45779,21815880500,340985,31338,20365,18789,17390,22158,22321,18616,16825,14798,25462,37335,36171,23827,13127,11023,11440,25851,0.4757
2014,12033,12,033,46655,6982200000,115094,7760,5168,6818,7901,5726,7803,7985,5742,7393,11614,11997,13945,7473,2866,2445,2458,24613,0.4378
2014,12035,12,035,51622,2231212400,36798,1970,1326,2274,1466,2181,1402,2197,2312,2025,4959,4396,5411,2420,1335,416,708,23037,0.3808
2014,12053,12,053,40255,3639089400,70558,4915,3657,5565,4666,5150,4993,6123,4359,3528,7525,6157,7278,2875,1378,1233,1156,21147,0.4164
2014,12055,12,055,36120,1916220900,39288,3067,3157,3510,2873,3570,2736,2924,2739,1399,3948,2932,3301,1168,294,1020,650,20953,0.4478
2014,12057,12,057,50796,34921938800,489603,35057,25611,27783,27617,25306,25351,26235,25243,21639,42045,49166,51983,39198,22854,22457,22058,27754,0.4758
2014,12061,12,061,46238,4070883800,55618,2823,3280,3730,3774,4846,3900,2591,2346,2115,4867,4638,5530,4395,2015,1929,2839,30705,0.5145
2014,12069,12,069,47191,7377802400,117696,7764,6537,5798,8463,5301,8505,6016,7283,6137,10027,13155,13109,8650,4609,3341,3001,24703,0.4407
2014,12071,12,071,49055,17686172600,263295,18415,13078,14301,17274,14811,14332,14972,13732,12969,25199,29281,28994,17284,9905,8709,10039,28190,0.4690
2014,12073,12,073,44824,7138823100,112145,13246,6060,6204,5740,7047,6093,5623,6251,4584,8106,9358,11482,7974,6289,4416,3672,25759,0.4849
2014,12081,12,081,52031,9562644300,137695,9117,7742,7428,8395,6772,7954,7813,6207,4649,11813,13703,16425,12391,6618,5082,5586,28503,0.4608
2014,12083,12,083,39958,6904335600,132275,9597,7885,10116,8777,9121,9348,11358,7236,5989,13474,12359,13092,6726,2117,2840,2240,21915,0.4239
2014,12085,12,085,55866,5358404600,62518,2595,3172,3926,3737,2623,2414,2798,3110,2986,5830,7095,8307,3299,3150,3067,4409,37065,0.5111
2014,12086,12,086,42926,56646163400,843887,88189,60062,53292,56926,50244,41037,42482,41829,35771,60559,75462,80349,57422,27848,33072,39343,23651,0.5239
2014,12087,12,087,59388,2303468500,28065,1747,1704,974,1210,1183,1399,1060,1179,1070,2660,3152,4189,1978,1536,1325,1699,34874,0.4863
2014,12089,12,089,52249,2164598300,28336,2025,1067,1178,1258,1305,1799,1984,1387,1574,1859,2524,3563,2732,1963,1013,1105,30041,0.4695
2014,12091,12,091,57640,5263817500,73277,4492,2604,3269,3807,3754,3818,2771,4681,2837,6314,6573,11950,7710,2856,3294,2547,28590,0.4255
2014,12095,12,095,47055,30103824100,444543,36039,21238,25304,29334,26904,25797,22735,24684,21402,42869,44279,42856,27165,17455,17799,18683,25347,0.4900
2014,12097,12,097,42899,4970733300,89328,6462,4319,6702,6677,5671,6266,4663,5404,5166,7404,9082,11328,4059,3073,1467,1585,18502,0.4310
2014,12099,12,099,52203,43310436100,538246,34561,26445,30427,32542,29649,31324,25507,23230,23530,42261,47175,61414,44736,23201,26129,36115,32819,0.5102
2014,12101,12,101,45349,11029965300,186999,13313,10876,11402,13669,11945,10675,10137,10674,9762,15997,19428,20531,12364,7570,4082,4574,24005,0.4368
2014,12103,12,103,45152,25884840300,402575,36189,21615,24523,25712,26478,24665,19963,21446,18661,32615,36357,42644,29475,14820,12478,14934,29128,0.4852
2014,12105,12,105,42780,12134743700,218286,18762,13224,13203,13387,15911,12804,12509,13219,10612,20121,21883,23827,13243,6730,5374,3477,20706,0.4357
2014,12107,12,107,30765,1120075500,26580,3192,3592,2784,1933,1512,1943,1409,884,983,2373,1506,2343,766,840,403,117,16915,0.4633
2014,12109,12,109,65976,7434839600,81309,3520,1571,1754,2690,4522,3841,3335,5325,2877,5607,10901,8313,8158,4891,8488,5516,35255,0.4362
2014,12111,12,111,42359,6171068200,108771,7272,7075,8572,7125,6643,8571,5985,5630,5055,11725,11695,9652,6627,3015,1920,2209,22494,0.4515
2014,12113,12,113,60317,4508898400,56085,2814,2337,2312,2120,2093,3078,1930,3128,3476,4559,5440,9126,4793,2688,3562,2629,28730,0.4469
2014,12115,12,115,52109,13480215100,175881,10383,7957,8973,10314,8099,9694,9604,9632,8966,15760,18637,20436,13787,6534,7714,9391,35240,0.4896
2014,12117,12,117,56322,11828089000,148732,7306,6956,7578,8090,6841,8900,5812,7513,6317,13836,15002,17300,13382,5948,9236,8715,29604,0.4725
2014,12119,12,119,50942,3425095600,50209,3043,2368,2116,2657,3041,2756,2721,2909,3018,5356,5868,5969,4153,1861,689,1684,30468,0.4489
2014,12127,12,127,40818,11164357700,200729,18064,10194,14676,15508,16176,12627,10984,11909,8372,16520,18883,21295,9712,6748,4983,4078,23599,0.4569
2014,13013,13,013,47834,1263194200,22508,958,1039,1438,1339,1335,1895,696,1788,1330,2463,2492,2920,1331,907,337,240,18743,0.3747
2014,13015,13,015,53675,2496269000,37742,2344,1169,781,2318,2127,2290,2456,1877,1392,4190,4495,5260,2601,2024,1681,737,24196,0.3978
2014,13021,13,021,35397,3194942600,56135,9456,3578,4668,3434,3928,2715,2908,2601,1452,3489,4002,6359,2561,1481,1661,1842,21921,0.5410
2014,13031,13,031,32841,1264404800,25844,3172,3038,1956,2606,1426,965,1544,1285,741,1522,2182,2717,1600,527,278,285,18181,0.4901
2014,13045,13,045,40744,2228737300,38875,4224,2301,2529,3617,1996,2389,2103,2196,1455,3091,3483,3788,2252,1263,1607,581,21525,0.4815
2014,13047,13,047,52412,1435939600,23476,836,1392,1307,1535,1326,1692,1031,751,1158,2667,2492,3439,1971,628,890,361,22794,0.3869
2014,13051,13,051,50718,7124007500,106188,9691,5574,4838,5723,4966,5908,5437,4498,5360,8585,12502,10905,9412,3998,4606,4185,26367,0.4570
2014,13057,13,057,69711,7315830700,81991,2661,1726,4387,2833,2597,2811,2923,4981,1746,7664,9605,12791,8916,6183,4489,5678,31951,0.4256
2014,13059,13,059,29996,2131308000,44016,8521,2707,4579,2949,3255,2073,2190,1982,1011,2726,4107,2703,2247,1085,738,1143,18340,0.5389
2014,13063,13,063,43287,4655385700,88538,6237,5475,6728,5946,5370,5575,5022,6129,5115,9376,8195,10767,3709,1812,1922,1160,18743,0.4126
2014,13067,13,067,67043,24582088100,271686,12490,8175,10677,11142,13264,12277,12018,12095,12299,18986,26669,35871,26405,16487,21206,21625,34148,0.4588
2014,13073,13,073,66925,3744266500,45371,2315,1146,2046,1419,1742,2093,1457,1332,2304,3802,6008,7454,4608,2409,2906,2330,28306,0.4181
2014,13077,13,077,59506,3711553400,49546,3090,1909,2147,2178,2532,2133,2113,2926,1951,3932,5712,6403,4488,3305,2735,1992,28346,0.4373
2014,13089,13,089,50542,20158453600,266307,20620,13582,14301,11725,16851,12774,13669,14731,13235,20661,24788,29749,17942,11604,13103,16972,29570,0.4965
2014,13095,13,095,31755,1612783700,35539,6003,3622,2691,2436,1812,2337,2163,1540,1319,2380,3168,3002,1452,429,775,410,18244,0.4954
2014,13097,13,097,54826,3099593900,47687,3613,2196,1631,1448,2152,2946,1782,2581,2959,4411,7227,6120,3948,1208,2227,1238,23113,0.3991
2014,13113,13,113,77016,3894315000,38945,1671,1002,927,928,1384,1346,1844,2214,1688,2040,3806,6042,2883,3700,3912,3558,35992,0.4370
2014,13115,13,115,41752,2168238300,36177,3548,2961,2460,1872,2001,2449,2077,1968,1368,2390,2981,5129,2066,581,951,1375,22761,0.4860
2014,13117,13,117,85639,7113810700,66429,1564,1212,1855,2809,1032,2496,1634,2424,2974,5118,5661,9305,8418,5784,6735,7408,35986,0.4171
2014,13121,13,121,55807,34709353800,381990,32593,20759,17529,20897,14347,18692,15022,18472,13035,29914,31954,36663,30149,18948,24489,38527,36742,0.5338
2014,13127,13,127,47333,2068732700,32361,3448,2022,1725,1489,1678,1423,1721,1282,2147,2306,2744,4478,2427,1169,1159,1143,26083,0.4662
2014,13135,13,135,59492,21546827800,278652,11180,9340,12817,15238,12744,15837,12779,14013,12864,23349,30360,37846,26436,14303,16374,13172,26017,0.4304
