year,fips,state_fips,county_fips,total_workers,drove_alone,carpooled,public_transit,bus,subway,bicycle,walked,worked_from_home,total_households_vehicles,no_vehicle,one_vehicle,two_vehicles,three_vehicles,four_plus_vehicles
2014,22057,22,057,41417,31904,5832,428,428,0,0,596,718,34564,2252,11959,14740,3672,1941
2014,22071,22,071,169940,118173,13535,15220,14359,759,5701,7809,6968,152788,29439,67765,43137,9660,2787
2014,22079,22,079,50242,42674,4082,1146,1146,0,114,405,1082,46738,4742,16410,17707,5776,2103
2014,22103,22,103,110486,90420,11717,462,462,0,1018,1100,3492,88123,3853,26207,38916,13891,5256
2014,23005,23,005,154529,115759,15062,3064,2469,0,2013,6897,9895,117186,9728,40169,48053,13500,5736
2014,23019,23,019,71189,55256,8961,789,713,76,161,2959,2080,61218,6671,21689,21231,8636,2991
2014,23031,23,031,100096,78314,10602,664,366,0,189,2640,6543,83504,4633,24928,34001,13364,6578
2014,24003,24,003,293035,232995,23949,9220,3827,0,1473,7095,14134,203775,9416,57213,84567,36480,16099
2014,24005,24,005,407683,327802,33360,19881,11705,268,533,7024,12971,311099,22643,116001,119539,36458,16458
2014,24021,24,021,128037,97677,13763,4326,1210,175,505,2638,8017,89084,4038,21534,37298,17420,8794
2014,24025,24,025,127116,105780,11596,2640,1052,0,15,1644,4681,92304,4240,26322,38638,15466,7638
2014,24027,24,027,162946,132908,10109,7785,3649,0,542,1367,9064,109651,3271,29687,51009,18343,7341
2014,24031,24,031,535377,343435,56746,87252,31576,74,3677,9477,30211,364854,26376,129108,140408,51492,17470
2014,24033,24,033,460377,310828,48819,73593,27291,85,1098,10625,12021,307022,29158,112824,101416,40835,22789
2014,24510,24,510,266684,162463,24144,49594,40391,1340,1960,17671,8023,238897,69634,99191,56174,10759,3139
2014,25001,25,001,100917,84651,5419,1266,667,0,302,3501,5110,95697,5214,36801,38303,11320,4059
2014,25005,25,005,270869,223437,23974,6266,2934,82,870,6363,7827,212901,22516,73570,76016,29110,11689
2014,25009,25,009,380536,277285,29088,23543,8596,0,1006,13526,26573,287808,32510,97298,113350,33758,10892
2014,25013,25,013,211507,175922,15911,4290,4290,0,373,7631,6118,176742,25536,68013,56729,18351,8113
2014,25017,25,017,830969,570567,53982,95842,29826,3009,11954,41557,49919,585634,62478,213339,221718,63894,24205
2014,25021,25,021,358336,249786,23837,50623,6320,1685,1932,12940,16133,260058,23664,91817,100277,31263,13037
2014,25023,25,023,251822,205645,18269,12554,3202,0,391,4736,8377,183251,11347,59198,75754,26527,10425
2014,25025,25,025,391329,159480,25918,128559,54253,3310,8446,50954,12258,295187,96248,128851,56656,10916,2516
2014,25027,25,027,403884,327138,37960,5682,2657,129,741,11044,17676,299841,26392,100694,114178,41934,16643
2014,26017,26,017,44485,38807,3287,283,283,0,452,806,782,42706,3810,14641,15717,6319,2219
